image,race_scores,obese_scores
79.png,"[9.9866951e-01 5.7488855e-06 5.2517606e-04 3.2780419e-05 4.8623380e-05
 3.6851404e-06 7.1444630e-04]","[0.051180437207221985, 0.6708855628967285, 0.2779340445995331]"
80.png,"[3.8521562e-04 7.5319838e-07 7.7724537e-05 9.7843939e-01 2.1062125e-02
 6.7043679e-06 2.8101122e-05]","[0.7714177370071411, 0.02298625186085701, 0.205595925450325]"
81.png,"[0.3675101  0.0835369  0.505598   0.00112419 0.00706384 0.00898851
 0.02617844]","[0.9999992847442627, 6.389178253130012e-08, 6.419609803742787e-07]"
82.png,"[1.7244534e-03 9.6426445e-01 2.2539025e-02 7.2462630e-05 7.4305537e-04
 1.0405137e-02 2.5142371e-04]","[0.9999949932098389, 4.95994254379184e-06, 4.680362053477438e-08]"
83.png,"[0.14285714 0.14285714 0.14285714 0.14285714 0.14285714 0.14285714
 0.14285714]","[0.6779053211212158, 0.3219894766807556, 0.00010521423246245831]"
84.png,"[0.33137122 0.00150452 0.21998745 0.0163018  0.01636427 0.00456464
 0.40990615]","[0.19014744460582733, 0.716657280921936, 0.09319526702165604]"
85.png,"[0.632966   0.00125177 0.15710588 0.00077265 0.00083894 0.00117533
 0.20588936]","[0.06432850658893585, 0.9287369251251221, 0.006934533827006817]"
86.png,"[2.3122880e-01 1.7885536e-04 8.8755459e-02 1.9988564e-03 2.4898723e-03
 7.0887962e-03 6.6825932e-01]","[0.9846858978271484, 0.014634966850280762, 0.0006791487685404718]"
87.png,"[9.9961030e-01 4.9283644e-06 2.0944164e-04 1.2729596e-06 4.9755931e-06
 8.2499746e-06 1.6096605e-04]","[0.0001091386511689052, 0.1645229160785675, 0.8353679776191711]"
88.png,"[0.18461671 0.00088185 0.7595476  0.00782904 0.01752749 0.0154635
 0.01413382]","[0.9630865454673767, 0.00025012504193000495, 0.03666329011321068]"
89.png,"[9.9416381e-01 1.2133911e-06 1.2764009e-03 1.6355792e-05 2.8733886e-05
 6.5716536e-05 4.4477782e-03]","[0.9998959302902222, 8.981061546364799e-05, 1.428608811693266e-05]"
90.png,"[0.05163247 0.04103548 0.795524   0.01130757 0.04680317 0.0307592
 0.02293809]","[0.1326446384191513, 0.8662662506103516, 0.0010891135316342115]"
